Modelo de Item,Código Oracle,Tipo de Item
u3220w,HWU3220W,Equipo
u3220,HWU3220,Equipo
i570,N2558APRUREF,Equipo
i465,N2603APRUREF,Equipo
i410,N2653BPRUREF,Equipo
i296,N2646BPRUREF,Equipo
i290,N2537APRUS,Equipo
i290,N2537BPRUS,Equipo
u8820,HWEU8820,Equipo
u5200,HWU5200,Equipo
u5300,HWU5300,Equipo
ionlysim,PSIM-IPP5,Equipo
i475w,N2728BPRU,Equipo
i475+,N2741DPRU,Equipo
i440+,N2742BPRU,Equipo
ionlysim,TMZ605BPRU,Equipo
i365,N2578AGEN,Equipo
